cpw;15;3041;16;0.125
tterrag1098;10;54;9;27;48;24;12;5;14;29;2;4;2;13;6;31;2;8;11;18;11;51;14;15;6;21;171;131;308;88;6;2;95;145;83;244;41;63;87;67;110;162;184;616;2441;0.020483408439164276
diesieben07;143;2905;144;0.013888888888888888
invalidCards;148;2850;149;0.013422818791946308
LexManos;6;1502;1490;1509;0.0019880715705765406
bonii-xx;535;2456;537;0.00558659217877095
andrewtackett;2881;1;1.0
shadowfacts;2868;3;1.0
MattDahEpic;6;38;2821;45;0.06666666666666667
Nucleria;2813;1;1.0
marvin-roesch;34;99;404;5;13;80;86;31;82;56;35;17;15;34;227;287;1289;1506;0.011288180610889775
williewillus;82;9;59;29;200;130;308;55;281;18;1641;1174;0.011073253833049404
gigaherz;4;53;278;2435;336;0.011904761904761904
Krasjet;2752;1;1.0
abvadabra;2741;1;1.0
meow-j;2624;1;1.0
dylanrenwick;2603;1;1.0
Choonster;80;265;2255;346;0.008670520231213872
howtonotwin;2;48;2;4;11;9;53;2;21;8;91;73;16;3;2227;353;0.0679886685552408
Abastro;2571;1;1.0
TheCodedOne;2435;1;1.0
elifoster;2;24;72;2335;99;0.04040404040404041
MidnightLightning;2326;1;1.0
MinecraftPlaye;498;1804;499;0.004008016032064128
RlonRyan;2251;1;1.0
JamiesWhiteShirt;77;163;35;121;1839;397;0.012594458438287154
Drakmyth;2231;1;1.0
Nullcaller;2231;1;1.0
SnowShock35;2208;1;1.0
G-Rath;205;1995;206;0.009708737864077669
TehNut;120;2047;121;0.01652892561983471
josephcsible;2131;1;1.0
under-scores;2077;1;1.0
basti1302;2068;1;1.0
rhilenova;1988;1;1.0
Shadows-of-Fire;1962;1;1.0
MakotoE;1953;1;1.0
JTK222;29;26;38;1840;94;0.0425531914893617
ZebulanStanphill;1810;1;1.0
mincrmatt12;1803;1;1.0
ZippeyKeys12;1791;1;1.0
3TUSK;4;127;1659;132;0.022727272727272728
LukeGi;1743;1;1.0
bs2609;81;1659;82;0.024390243902439025
Clownvin;1659;1;1.0
suarezsandicamilo;1550;1;1.0
brandonbothell;1549;1;1.0
DaemonUmbra;1490;1;1.0
Cadiboo;6;86;1227;93;0.03225806451612903
Aeltumn;5;87;1227;93;0.03225806451612903
kaltinril;1319;1;1.0
JoJoDeveloping;1313;1;1.0
realmayus;1290;1;1.0
Liam-Ryan;1227;1;1.0
tonitch;1227;1;1.0
TheGreyGhost;1223;1;1.0
Draco18s;1140;1;1.0
mrp-v2;1140;1;1.0
TBBYT;1140;1;1.0
sigmasoldi3r;1140;1;1.0
Cyborgmas;1139;2;1.0
ChampionAsh5357;177;69;91;107;112;14;10;14;21;2;5;4;2;5;26;16;11;9;33;13;17;25;12;37;43;7;11;33;7;41;45;29;85;1055;0.03696682464454976
sciwhiz12;177;229;273;460;680;0.0058823529411764705
TheCurle;165;160;733;326;0.009202453987730062
MichaelHillcox;962;1;1.0
ravenbuilder934;962;1;1.0
PellucidDice;893;1;1.0
D0CTOR-ZED;568;1;1.0
eerussianguy;558;1;1.0
shaokeyibb;487;1;1.0
gdams;484;1;1.0
skyjay1;429;1;1.0
Matyrobbrt;326;1;1.0
Maaxed;252;1;1.0
Daniel-Mendes;75;166;76;0.02631578947368421
XFactHD;109;1;1.0
srcres258;48;1;1.0
