sha;author_id;date
ef310fb8da082836053e59d1c9354a5e0812fefe;cpw;2015-04-20 03:34:18
fb473753b1cda6afcc077dcab31c5e01bc46932b;cpw;2015-04-20 03:34:52
35e13ceda02f8dd3958202a4ea65384d8879967c;cpw;2015-04-20 03:45:06
c4da97a5ce68e0bd446e9080caddbdcf096d2bf6;cpw;2015-04-20 04:10:58
9701e6781815d0db795085d9d8e13dbabc1f7225;cpw;2015-04-20 04:11:17
dd2c0782e29da7ea9e39b6d4466efc80ac572837;cpw;2015-04-20 04:39:45
b42d8ba02665989c15d1ba8f254f5ffb20c030bf;cpw;2015-04-20 04:48:18
520a14a829a3ded1bc98ab000db4f1b14b4deeed;cpw;2015-04-20 04:49:35
d1750878865692e9639e7a51ebac35c682a46aec;cpw;2015-04-20 04:51:08
30485bc2d9da42e3971cdd90d7c357da0e917549;cpw;2015-04-20 04:55:00
b3f10c512b22fbd0729b70a64dc7f7ff100d1ecd;cpw;2015-04-20 11:43:38
dd76be2181a1715fa603c25f325f29e33516ef5c;cpw;2015-04-20 11:45:54
115561a4c6d16bbf2106d307506167a6f5c8c47b;cpw;2015-04-20 12:09:26
dd005c8e3081d12452647388a4d1922519b8f19d;tterrag1098;2015-04-20 17:48:54
ec38571399a7a693ba5f108261520cae86408c10;cpw;2015-04-20 19:25:04
5aef2d7080511644762134eca04385de0e6b350c;cpw;2015-04-20 19:45:14
da92bfee5b847a98610ce9b142ba329f72137771;cpw;2015-04-20 19:52:58
167ecc62f8ef1241aaa6d5f6826eff4068a5ea2b;cpw;2015-04-20 19:54:54
8cd2cd5d1cd320fccca1ef1aaca1987bc0dd4217;tterrag1098;2015-04-20 20:07:11
723c8f3ed679620155a7e644d005a0b18bb5e539;cpw;2015-04-20 20:29:08
1752efe9c9bd204d50554138d7eaf44678d6ea68;tterrag1098;2015-04-20 21:59:41
47de1791307629a1d6b1d246f2a67c47fa645ca3;cpw;2015-04-20 22:07:50
cb30c02087adff7c6b43c75fe64a4331d13e16b1;cpw;2015-04-20 22:11:26
a9f32984b242e3ee6c4cc4f65f2c64b7a9a9a20d;cpw;2015-04-20 22:13:24
cd50d883944a014b350daafbbb455dd6b21eb97b;diesieben07;2015-04-28 14:59:59
414f888c82b88c603ab34aaf9e8ec25a180b7fb3;tterrag1098;2015-04-30 16:19:12
73ef4b9071c7cdc9c53a37933ac6164fa885be35;cpw;2015-05-05 00:42:02
94dfca32c904f8125a98a51b727e1400d5b686d3;cpw;2015-05-05 00:42:16
ae9979cef35dd74c0d9960aaf5e2ee3352016948;cpw;2015-05-05 00:46:49
4ad1abe3910801f7e3f1e5675c67bc559fdf006c;invalidCards;2015-06-17 17:41:12
6f2ff10d18b5d91664f23454d95e244d6446b1d2;LexManos;2015-06-17 19:19:12
34e7e6af08f7eaea440a2c2a2aa692be599a5a1d;tterrag1098;2015-06-23 19:21:14
854303a244b94d80cd1eafce8594f8c607edb6b6;LexManos;2015-06-23 20:41:48
cc4df361b3d885aa93248a600435f2f9595ee85f;bonii-xx;2015-06-23 22:51:29
2db47166ba8a0a3b7f812ff78f90a29d524a58da;bonii-xx;2015-06-23 23:03:30
c114e2dd4fa8be89b638e543499e2a02b3a2d98a;tterrag1098;2015-06-23 23:43:07
d9c3c63be976090925561000cb597de16b74dcc3;tterrag1098;2015-06-23 23:46:33
fc2e175d3684a3997f2dc9f1e4c01c6559e307ac;tterrag1098;2015-06-23 23:53:30
a6d20ce130faacdcd397b1d2a4fb44d1e766764f;tterrag1098;2015-06-24 00:13:00
a77e5e06c30dc81b60d82f5b2a58b347d1827acc;bonii-xx;2015-06-24 18:14:54
3d59c2156a88e4b7f0e7c927b5619defa8010459;bonii-xx;2015-06-24 18:27:07
6bd77deadd8828dec13ccb92462f24669938a3f9;tterrag1098;2015-06-25 17:36:07
cfd0629817f1c3d96166e4513a5a7dab0221cde3;tterrag1098;2015-06-25 17:32:03
2f4117d156c0ecf14be4def6590c4411a46dcb55;tterrag1098;2015-06-26 02:46:18
a5d0815cfe8909f4d728d0cb1ec8633d552f7c2c;tterrag1098;2015-06-26 02:52:21
08c876312fd189339b9ef293222bed294c8d6bfc;tterrag1098;2015-06-26 03:05:53
af48a58aa58dfde23e365a9cfe467b3d6e508636;tterrag1098;2015-06-26 03:07:00
44d2d44aede19f920d94655c0caebc37a2ee40d6;tterrag1098;2015-06-26 03:08:39
1340000e5b8749b871ee117606ff7c84c6b200d7;tterrag1098;2015-06-26 03:17:17
aedfa5dd2fc5d25d11a28f6d7817b2e16e801100;tterrag1098;2015-06-26 03:34:47
3e2e905a5d8a9fc7c98bc77b01a5d405d66d3e8b;tterrag1098;2015-06-26 17:27:18
2d29fef64f5ec8e4899d962068b424b08d1e0e82;tterrag1098;2015-07-05 15:20:07
477c4e9347341c7d8d6cacf570f46391a70fb54f;tterrag1098;2015-08-01 20:56:47
552299e6a282c6ae6c4b9afc04f831e3312122c4;tterrag1098;2015-08-01 20:59:41
cea0445f8c9872b75393fd66c86bc963f3443ace;diesieben07;2015-09-18 19:52:13
386e430010f26335e98f644678a689e35284e156;tterrag1098;2015-09-18 20:30:48
78f165f134d02138b6ccc7ed91dced60a25ccee2;andrewtackett;2015-10-12 21:11:10
b65167fdd180141bbf792e908dbab2e6f2663e89;tterrag1098;2015-10-12 22:34:29
e7bb02be55bdae50b13da4c5b7f3131aebd124c3;shadowfacts;2015-10-23 01:33:11
5cf92fde8b000958f2c9516d7c02ac9714e2292c;shadowfacts;2015-10-23 21:47:19
501235c10f0c881752b4de90005e6af57898abca;tterrag1098;2015-10-24 01:11:03
41662ab4e99698181f1ac66009085b1f9a9021f6;MattDahEpic;2015-10-28 22:35:26
2f73c5bf6b414af5ab441458de38544aad3ebdff;tterrag1098;2015-10-29 02:05:58
