sha;author_id;date
c4796b5e9525cb5c00ab7483f02b8c6866aca7f6;LexManos;2018-02-15 18:40:09
bd3617cfd4c39c6c7b65969114fd886fc28039db;LexManos;2018-03-01 23:24:41
ce4ca4d81b8810e89403dc77d1be1b73754aea3d;LexManos;2018-03-08 02:26:31
e9f89b670cf2e6f5bd156b5598de0ced07eb05d1;LexManos;2018-03-08 11:56:39
3aeb17b4f1d617edccf8c2a8dd9f287699b09f8d;LexManos;2018-02-06 05:24:47
5e37d712f4305288d1e96bcf76a9654ec82592ce;LexManos;2018-03-09 13:23:52
fd32c8c8e0a028723110a2308ed49f5152241995;LexManos;2018-03-09 14:26:42
c607a06637ac1bce78be86be9e0bd6b99c27c809;LexManos;2018-03-10 02:55:20
21dd37306a5d3e8ec5c7c484fc1f9ca5faf9366e;LexManos;2018-03-11 00:57:31
32d76313ad0916de0dd49bf126117600a347ceb8;LexManos;2018-03-11 01:39:59
430505031a72d1332ed287fcc9cf99790c57b6b4;LexManos;2018-03-11 01:51:40
9bbafecd92a6ea91465d464091fc6c54b1a16d61;LexManos;2018-03-11 03:13:56
36daa23e6130af0cb2e9bf9026ef504e22b29971;LexManos;2018-03-15 23:46:36
af4cfa590f5c0974fd801fb9f0aa37f9db637afd;LexManos;2018-03-20 00:18:13
7b929228f65824c9cff91caff15375dd2e5316cd;LexManos;2018-03-20 01:18:05
b10da2e4b84fae81fdde52876281c6bd5910f381;LexManos;2018-03-20 01:35:45
c530c987548c09c43943a0070f200dcbbee88233;LexManos;2018-03-20 02:31:25
51e887d08781835931f2f75568623dfffbcb6d8a;LexManos;2018-03-20 03:02:12
25586116261dcd879267e7e3d086357643da0870;LexManos;2018-03-21 22:28:09
48d371d33d4544d797d75189a85f457570ead913;LexManos;2018-03-21 23:18:33
359b08ecb874259eaf0b9fa6b3a45ecd58c14785;LexManos;2018-03-21 23:36:08
07ba4e1c2887d6b8fd83a61d12b3e37797b059ea;LexManos;2018-03-22 00:14:33
093d05c1615496b2cbdfa5c1e4f507281ff5d73b;LexManos;2018-03-22 02:53:53
3b9027675696c09c5a5bc64a39e14d666ccc9ace;LexManos;2018-04-02 08:38:01
885825c75e933100030c25d976063b0d7c7f73bf;LexManos;2018-04-04 23:06:39
3c9d6564f3d4fbc746cdaa9ddfdb1fbc83320cca;LexManos;2018-04-06 23:42:28
1ce1d1a104b6efc68ab4d9ffe4a99ba868b15370;kashike;2018-04-13 04:54:38
63c228e8a8815c1e5531e503ae52d8bacc5a85ef;LexManos;2018-04-25 23:26:43
0806e96c44c2cb41b5f1e7508ebb01b91912217d;LexManos;2018-05-10 19:53:23
be319159b7d6966afb46f15e726e0a2ec84dabfb;LexManos;2018-05-16 07:49:58
3e1202fca2cf6e31f3474fd0c3cb5f2e8a492191;LexManos;2018-05-16 10:03:11
12bf82eadabf0f3452917dfd3a2a842834c4f775;LexManos;2018-05-24 19:58:37
a0dbd0f60a330cf3165c886764dd9638448c6f05;LexManos;2018-05-24 20:30:38
a5ab7bf1c83fc4fa995b8d500e5c37f4c4a202a2;LexManos;2018-05-24 21:46:12
0f0c5052e7ce4a27219e5b0431e852f8d0fda4b5;LexManos;2018-05-25 21:44:59
2cd16e28e34848e1a7eb9c760cfd5ed3693da817;LexManos;2018-06-05 00:34:56
8ed5f4106745a97e824d75b08e4f5ee2360ca247;LexManos;2018-06-05 04:11:13
f7d7e24bc378f6a7bb803517945b2f7517c1670d;kashike;2018-06-05 04:40:28
63c03d6cea69a8fe40acecd59569948bbee3f951;LexManos;2018-06-22 02:46:50
d54e261ff394cba7d97539c29b90914a71f711bb;LexManos;2018-06-22 05:28:31
6897e4f07f699714207476866f5b6d8849a33490;kashike;2018-06-22 08:37:24
59b0fe73149dc5343cfd945d529da3a0e1801246;LexManos;2018-07-03 01:50:25
facd4c00b0fe116026bc7a635789d1a998140113;LexManos;2018-07-03 22:58:40
237d6fb0da985228b3dd7b46b3b68d2dd03b0d9a;kashike;2018-07-04 00:02:08
4f74ce717bb231d78248664ff06e45beb68fb2c0;LexManos;2018-07-10 01:34:38
a085e716be91b3af9fef79ec8970381b8165eacc;kashike;2018-07-14 21:01:20
b3f7859a8196ab62d26aed115f2bffcf25c776a6;kashike;2018-07-16 20:26:52
555ef8d421edc2f1c91966ca463db1a8d8aa313f;kashike;2018-07-16 20:21:20
fb5951b26312490571339c0415dfb5dc8021ea18;kashike;2018-07-17 08:07:14
ccbaf150facd82e875087c6b7f38917bd928cde1;kashike;2018-07-17 08:07:26
5419da0838025eb6d05fd8c5254846092864bbc2;LexManos;2018-07-18 01:34:39
67807bae30c6027890092203220e982d376f34bb;LexManos;2018-07-18 06:00:16
f5ae60e2d536ffd34625b243d5d200b1af3f5e1d;LexManos;2018-07-18 08:19:11
143ea2a5a91644997cfa41938427a75954ab0328;LexManos;2018-07-18 09:37:06
86cb26e2e1c991a3a1db9f83b7707d04048ab1f4;LexManos;2018-07-18 10:10:50
1494066f1a4069b8361e0c04cca8722b4a7bfdcc;LexManos;2018-07-18 11:00:16
e161229b4a19663dc59db608bda61c35c128e51f;LexManos;2018-07-18 22:17:47
ef97e3dc81310f7c3d95b1571281850f2ac04c59;LexManos;2018-07-19 00:29:07
b2d3c7aff178a0f4c39c6dbdccf61a1630d3e6ca;LexManos;2018-07-19 05:48:06
72db39567879541b98e28df9ecbaf299f7f73852;kashike;2018-07-19 20:42:41
10b424a6b958448465e38eb265a915f228318399;LexManos;2018-07-20 07:00:17
