user_id;2023-02-27;2023-02-28;2023-03-01;2023-03-02;2023-03-03;2023-03-04;2023-03-05;2023-03-06;2023-03-07;2023-03-08;2023-03-09;2023-03-10;2023-03-11;2023-03-12;2023-03-13;2023-03-14;2023-03-15;2023-03-16;2023-03-17;2023-03-18
Matyrobbrt;3;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
marchermans;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
