dev,cosine_similarity
matthiasgeiger,0.59
stefan-kolb,0.55
tobiasdiez,0.55
koppor,0.54
Siedlerchr,0.47
davidemdot,0.32
calixtus,0.18
mlep,0.17
Ka0o0,0.14
b0n541,0.12
