dev,cosine_similarity
mlep,0.21
ffffatgoose,0.2
ageofadz,0.18
stefan-kolb,0.12
matthiasgeiger,0.11
rodps,0.11
Ka0o0,0.11
koppor,0.1
tobiasdiez,0.1
b0n541,0.1
