dev,cosine_similarity
burrbull,0.44
steffinstanly,0.39
carlg0ransson,0.31
calixtus,0.31
MisterM13,0.31
sfo,0.25
ms111ds,0.25
illes,0.25
martinacat,0.25
dimmonn,0.22
