dev,cosine_similarity
steffinstanly,0.63
carlg0ransson,0.5
MisterM13,0.5
sfo,0.41
ms111ds,0.41
illes,0.41
martinacat,0.41
ageofadz,0.4
dimmonn,0.35
taerim25,0.35
