dev,cosine_similarity
steffinstanly,0.82
MisterM13,0.65
sfo,0.53
ms111ds,0.53
illes,0.53
martinacat,0.53
dimmonn,0.46
taerim25,0.46
Julien29121998,0.46
ageofadz,0.35
