dev,cosine_similarity
vpbhargav,0.33
ageofadz,0.29
steffinstanly,0.25
znuznu,0.25
dimmonn,0.24
michel-kraemer,0.23
Siedlerchr,0.21
Ka0o0,0.21
carlg0ransson,0.2
MisterM13,0.2
