dev,cosine_similarity
steffinstanly,0.65
MisterM13,0.52
deisi,0.43
sfo,0.43
ms111ds,0.43
illes,0.43
martinacat,0.43
dimmonn,0.37
taerim25,0.37
Julien29121998,0.37
