dev,cosine_similarity
matthiasgeiger,0.69
tobiasdiez,0.64
stefan-kolb,0.63
koppor,0.61
Siedlerchr,0.52
davidemdot,0.32
calixtus,0.19
Ka0o0,0.16
mlep,0.15
b0n541,0.12
