dev,cosine_similarity
stefan-kolb,0.82
matthiasgeiger,0.72
koppor,0.69
tobiasdiez,0.66
Siedlerchr,0.44
davidemdot,0.25
calixtus,0.14
mlep,0.12
Ka0o0,0.11
b0n541,0.09
