dev,cosine_similarity
stefan-kolb,0.42
matthiasgeiger,0.37
koppor,0.34
tobiasdiez,0.34
Siedlerchr,0.22
davidemdot,0.14
vpbhargav,0.13
cs464osu,0.11
AyushBherwani1998,0.11
calixtus,0.11
