dev,cosine_similarity
cmoralesmx,0.36
Ka0o0,0.33
steffinstanly,0.32
taerim25,0.27
ffffatgoose,0.26
MisterM13,0.25
sfo,0.21
siordache,0.21
ms111ds,0.21
b0n541,0.21
