dev,cosine_similarity
matthiasgeiger,0.65
stefan-kolb,0.62
tobiasdiez,0.61
koppor,0.56
Siedlerchr,0.47
davidemdot,0.29
calixtus,0.16
Ka0o0,0.15
mlep,0.13
b0n541,0.11
