dev,cosine_similarity
burrbull,1.0
cmoralesmx,1.0
mlep,0.21
calixtus,0.08
stefan-kolb,0.07
matthiasgeiger,0.07
Siedlerchr,0.06
koppor,0.06
davidemdot,0.06
tobiasdiez,0.05
