dev,cosine_similarity
dawidowoc,0.36
Siedlerchr,0.26
calixtus,0.24
vpbhargav,0.24
omer-rotem1,0.24
MisterM13,0.22
Ka0o0,0.22
danielbom,0.19
steffinstanly,0.18
tobiasdiez,0.18
