dev,cosine_similarity
valx76,0.63
steffinstanly,0.56
carlg0ransson,0.45
MisterM13,0.45
sfo,0.37
ms111ds,0.37
illes,0.37
martinacat,0.37
dimmonn,0.32
taerim25,0.32
