dev,cosine_similarity
ageofadz,0.31
mlep,0.15
calixtus,0.12
rodps,0.12
matthiasgeiger,0.11
b0n541,0.1
stefan-kolb,0.09
koppor,0.08
tobiasdiez,0.08
davidemdot,0.07
