dev,cosine_similarity
MisterM13,0.34
calixtus,0.32
vpbhargav,0.32
steffinstanly,0.28
siordache,0.27
dimmonn,0.24
michel-kraemer,0.22
b0n541,0.22
Siedlerchr,0.19
sfo,0.18
