dev,cosine_similarity
calixtus,0.19
b0n541,0.14
Siedlerchr,0.06
davidemdot,0.06
matthiasgeiger,0.05
koppor,0.04
tobiasdiez,0.04
stefan-kolb,0.03
PointOfNilReturn,0
dependabot[bot],0
