dev,cosine_similarity
steffinstanly,0.37
burrbull,0.37
calixtus,0.28
MisterM13,0.28
carlg0ransson,0.26
sfo,0.23
ms111ds,0.23
illes,0.23
martinacat,0.23
Siedlerchr,0.22
