dev,cosine_similarity
tobiasdiez,0.49
Siedlerchr,0.48
koppor,0.44
stefan-kolb,0.43
matthiasgeiger,0.4
davidemdot,0.33
calixtus,0.23
michel-kraemer,0.16
Ka0o0,0.16
b0n541,0.16
