dev,cosine_similarity
carlg0ransson,1.0
dawidowoc,0.45
mmihuu,0.44
Ka0o0,0.31
rodps,0.24
b0n541,0.2
calixtus,0.18
davidemdot,0.11
matthiasgeiger,0.09
Siedlerchr,0.08
