dev,cosine_similarity
ffffatgoose,0.41
ageofadz,0.38
mlep,0.32
rodps,0.22
Ka0o0,0.22
b0n541,0.21
calixtus,0.13
stefan-kolb,0.09
koppor,0.08
matthiasgeiger,0.08
