dev,cosine_similarity
Siedlerchr,0.18
b0n541,0.18
Ka0o0,0.16
koppor,0.15
tobiasdiez,0.15
vpbhargav,0.15
steffinstanly,0.14
sfo,0.13
davidemdot,0.13
dimmonn,0.12
