dev,cosine_similarity
dependabot[bot],0.17
matthiasgeiger,0.08
stefan-kolb,0.07
koppor,0.06
tobiasdiez,0.06
davidemdot,0.05
Siedlerchr,0.04
PointOfNilReturn,0
deisi,0
parammittal16,0
