dev,cosine_similarity
victorjof,0.32
VMichelan,0.29
davidemdot,0.27
CyraxSector,0.23
sfo,0.19
illes,0.19
stefan-kolb,0.16
Siedlerchr,0.14
koppor,0.14
tobiasdiez,0.14
