dev,cosine_similarity
matthiasgeiger,0.55
stefan-kolb,0.47
tobiasdiez,0.45
koppor,0.43
Siedlerchr,0.37
davidemdot,0.19
calixtus,0.15
Ka0o0,0.14
MisterM13,0.13
steffinstanly,0.12
