dev,cosine_similarity
dependabot[bot],0.21
davidemdot,0.07
stefan-kolb,0.05
matthiasgeiger,0.05
Siedlerchr,0.04
koppor,0.04
tobiasdiez,0.04
PointOfNilReturn,0
deisi,0
parammittal16,0
