dev,cosine_similarity
cs464osu,0.58
AyushBherwani1998,0.58
kydojo,0.58
mlep,0.23
stefan-kolb,0.11
koppor,0.1
matthiasgeiger,0.09
rodps,0.08
tobiasdiez,0.08
Siedlerchr,0.07
