leethomason;16;15;6;16;8;13;14;3;9;3;6;2;8;9;12;10;2;14;5;15;4;2;19;21;27;13;17;7;7;6;38;26;13;41;39;4;29;9;19;37;36;12;119;146;157;889;0.06299212598425197
Dmitry-Me;15;7;36;28;4;3;5;5;6;16;4;6;14;3;2;5;4;7;10;2;103;65;9;206;456;575;0.059130434782608696
brad-anderson;174;812;175;0.011428571428571429
jnguyen75;979;1;1.0
jasjuang;19;275;663;295;0.010169491525423728
redagito;939;1;1.0
hyperair;938;1;1.0
kbinny62;4;932;5;0.4
DragonValley;4;910;5;0.4
lelegard;866;1;1.0
algol83;1388;1;1.0
alabuzhev;797;1;1.0
zyndor;771;1;1.0
PeterMatula;736;1;1.0
fcami;723;1;1.0
Gumichan01;713;1;1.0
noloader;709;1;1.0
mschmieder;678;1;1.0
johnb003;573;1;1.0
lsolanka;7;621;8;0.25
orbitcowboy;50;132;121;90;154;394;0.012690355329949238
jacobschloss;482;1;1.0
Masadow;463;1;1.0
bolry;453;1;1.0
scpeters;433;1;1.0
MortenMacFly;423;1;1.0
cugone;40;238;41;0.04878048780487805
equalent;265;1;1.0
wangkirin;31;230;32;0.0625
aaronkirkham;239;1;1.0
untereiner;175;1;1.0
Alanscut;5;6;110;12;0.25
daniel347x;82;1;1.0
jsenn;57;1;1.0
ngc92;43;1;1.0
offlinemark;43;1;1.0
