cpw;2;2;2;3;2;2;6;2;5;3;6;3;2;3;5;3;3;4;2;3;5;8;6;2;2;2;2;2;2;2;6;2;2;2;3;2;3;4;9;2;2;4;3;4;13;3;3;3;6;4;2;8;3;3;4;2;2;3;2;2;2;2;10;6;3;4;2;2;2;3;3;4;3;10;5;4;3;3;11;10;6;8;2;5;9;2;2;4;3;18;15;2;2;4;5;11;2;2;2;2;5;2;3;3;2;5;7;4;6;2;2;13;6;2;3;3;6;2;2;3;2;3;3;4;7;3;3;5;2;62;7;4;7;2;2;3;7;7;2;3;4;2;6;2;8;6;8;9;10;2;4;4;5;6;188;5;2;9;9;8;2;3;4;3;3;3035;1140;0.3236842105263158
LexManos;31;4;14;7;3;4;3;4;2;22;19;3;2;2;3;27;34;3;8;9;6;3;12;5;2;3;2;5;13;4;13;15;14;4;2;2;2;4;2;4;2;14;5;14;4;5;8;40;4;4;2;3;2;3;18;2;43;6;4;7;4;10;19;2;7;2;20;2;5;5;13;8;3;12;5;18;2;7;7;5;2;8;5;7;23;6;2;13;3;32;6;2;2;4;2;2;20;5;28;7;4;3;7;2;2;3;5;5;16;3;20;4;12;8;24;2;13;3;8;3;6;10;11;5;3;3;5;6;2;4;10;3;2;3047;1120;0.16964285714285715
ScottKillen;8;4093;9;0.2222222222222222
GenuineSounds;4097;1;1.0
dionrhys;4096;1;1.0
Krapht;331;3706;332;0.006024096385542169
remuladgryta;4035;1;1.0
calclavia0;4035;1;1.0
Chicken-Bones;134;4026;137;0.029197080291970802
iChun;10;435;36;3530;482;0.008298755186721992
CovertJaguar;115;113;142;3634;371;0.01078167115902965
pahimar;2;74;233;102;3581;412;0.012135922330097087
Vazkii;43;275;3708;319;0.009404388714733543
Uristqwerty;3913;1;1.0
bspkrs;56;206;94;145;2;34;16;68;15;123;3120;760;0.014473684210526316
immibis;492;3350;493;0.004056795131845842
RainWarrior;275;96;28;294;2;11;44;22;3;9;3042;787;0.016518424396442185
agaricusb;99;25;3792;125;0.024
mDiyo;760;3056;761;0.002628120893561104
jrtc27;102;3713;103;0.019417475728155338
Glought;3785;1;1.0
fnuecke;182;3586;183;0.01092896174863388
jeffreykog;31;76;68;4;19;4;31;3476;236;0.0423728813559322
CaptainShadows;3707;1;1.0
grompe;3683;1;1.0
Bo98;3681;1;1.0
kevinji;3656;1;1.0
AbrarSyed;207;155;8;3;5;16;30;8;52;7;7;13;27;2;56;2;90;202;5;4;3043;904;0.02765486725663717
airbreather;3530;1;1.0
Jezza;322;3195;323;0.006191950464396285
bloodmc;7;195;3292;203;0.014778325123152709
bl4ckscor3;3492;1;1.0
sfPlayer1;4;3;3;2;2;2;2;11;3;4;12;3399;54;0.3148148148148148
matthewprenger;255;3157;256;0.0078125
marysaka;45;3360;46;0.043478260869565216
diesieben07;23;457;38;20;43;3;18;9;101;35;36;7;3079;791;0.01643489254108723
Emberwalker;302;3065;304;0.009868421052631578
rumickon;3354;2;1.0
Soaryn;3349;1;1.0
AntonBoch1244;3314;1;1.0
Parker8283;15;25;35;12;27;68;19;3151;202;0.039603960396039604
lumien231;3191;1;1.0
HEmile;3174;1;1.0
stephan-gh;3150;1;1.0
Grinch;3137;1;1.0
fry-mojang;3122;1;1.0
Zot201;96;3103;98;0.030612244897959183
tterrag1098;24;6;3064;31;0.0967741935483871
killjoy1221;8;20;3055;29;0.10344827586206896
GotoLink;3074;1;1.0
olee;2924;1;1.0
dvatreknerd314;2939;1;1.0
AwesomeSpider;2985;1;1.0
The-Fireplace;3003;1;1.0
yuuka-miya;56;227;252;3050;536;0.007462686567164179
heni123321;376;3072;377;0.005305039787798408
coolsquid;3074;1;1.0
buttilda;3079;1;1.0
SeanWHall;3099;1;1.0
ErrorCraftLP;3102;1;1.0
CAD97;3119;1;1.0
MineDev2014;3134;1;1.0
w4;3139;1;1.0
jamierocks;3149;1;1.0
TheJacko;3151;1;1.0
chylex;3166;1;1.0
JRBulider;3167;1;1.0
NightSharp;3193;1;1.0
MSourceCoded;3204;1;1.0
phroa;3211;1;1.0
Matts;3227;1;1.0
galaharon;3232;1;1.0
dmillerw;3245;1;1.0
CrystalMare;3247;1;1.0
donington;637;3247;638;0.003134796238244514
samsartor;3249;2;1.0
master801;3252;1;1.0
Qowyn;3255;1;1.0
octylFractal;3257;1;1.0
pocharat;3258;1;1.0
Raphfrk;3272;1;1.0
GUIpsp;3286;1;1.0
izstas;3299;1;1.0
riking;3301;1;1.0
MartijnWoudstra;3314;1;1.0
AlgorithmX2;3316;1;1.0
iLexiconn;29;41;3317;71;0.04225352112676056
darkevilmac;3318;1;1.0
guy22;3328;1;1.0
Lunatrius;3332;1;1.0
rstat1;3335;1;1.0
smbarbour;245;3341;246;0.008130081300813009
squeek502;3360;1;1.0
D4Dead;3368;1;1.0
Kobata;2;78;99;147;3385;327;0.01529051987767584
skyboy;3385;1;1.0
allout58;3392;1;1.0
Clashsoft;3397;1;1.0
metadaddy;3399;1;1.0
viliml;3403;1;1.0
vlad20012;3405;2;1.0
mattparizeau;3421;1;1.0
simon816;3431;1;1.0
ShetiPhian;42;3434;43;0.046511627906976744
Fearitude;3448;1;1.0
h0tw1r3;3468;1;1.0
DillonJettCallis;3486;1;1.0
garvek;3496;1;1.0
hanetzer;23;3504;24;0.08333333333333333
techbrew-mc;3515;1;1.0
libarclite;3516;1;1.0
alalwww;3518;1;1.0
Cazzar;3518;1;1.0
jadar;3525;1;1.0
ghost;225;5;207;35;8;94;3531;576;0.013888888888888888
GrahamCampbell;3531;1;1.0
bculkin2442;321;3531;322;0.006211180124223602
MazeXD;3531;1;1.0
TheWeatherPony;3570;1;1.0
Michcioperz;3579;1;1.0
ElvishJerricco;3594;1;1.0
HoBoS-TaCo;327;3595;328;0.006097560975609756
christopherobin;3596;1;1.0
samrg472;3614;1;1.0
luisc99;3615;1;1.0
smcv;3631;1;1.0
SirSmuggler;3650;1;1.0
azenla;3672;1;1.0
cuchaz;3674;1;1.0
aldahick;3674;1;1.0
smith61;4;40;3705;45;0.06666666666666667
aaron-edwards;3713;1;1.0
Tarig0;3713;1;1.0
purpleposeidon;3744;1;1.0
odininon;58;20;3750;79;0.0379746835443038
TomyLobo;3758;1;1.0
MarcinSc;3785;1;1.0
JLBShecky;3788;1;1.0
boq;3793;1;1.0
cubedtear;3800;1;1.0
ata4;3812;1;1.0
ExE-Boss;3816;1;1.0
KingBowser;3821;1;1.0
AartBluestoke;3841;1;1.0
BStramke;3872;1;1.0
Cloudhunter;3882;1;1.0
LepkoQQ;3888;1;1.0
telinc1;3904;1;1.0
jakenjarvis;3917;1;1.0
calclavia;113;3922;115;0.02608695652173913
keepcalm;17;11;3946;30;0.13333333333333333
FunnyMan3595;3958;1;1.0
ShadwDrgn;3961;1;1.0
sarahzrf;3962;1;1.0
ArcanoxDragon;3972;1;1.0
Beliar83;3994;1;1.0
phpr;4022;1;1.0
aidancbrady;4023;1;1.0
taralx;4030;2;1.0
Scorpi;4031;1;1.0
winsock;4036;1;1.0
lacolaco;4046;1;1.0
Xaroth;4058;1;1.0
TrueBrain;4071;1;1.0
psxlover;4088;1;1.0
