dev;repo;dates;len;Tfov;previously;label;after
diesieben07;MinecraftForge/MinecraftForge;2018-05-13/2019-07-02;415;39.0;ACTIVE;GONE;ACTIVE
gigaherz;MinecraftForge/MinecraftForge;2017-02-24/2018-10-20;603;74.0;ACTIVE;GONE;ACTIVE
mezz;MinecraftForge/MinecraftForge;2019-10-15/2022-01-28;836;22.0;ACTIVE;GONE;ACTIVE
williewillus;MinecraftForge/MinecraftForge;2020-06-12/2021-12-13;549;37.0;ACTIVE;GONE;ACTIVE
