user_id;2016-02-06;2016-02-07;2016-02-08;2016-02-09;2016-02-10;2016-02-11;2016-02-12;2016-02-13;2016-02-14;2016-02-15;2016-02-16;2016-02-17;2016-02-18
LexManos;1;0;0;0;0;0;0;0;0;0;0;0;0
AbrarSyed;0;0;0;0;0;0;0;0;0;0;0;0;1
