dev,cosine_similarity
oprypin,0.17
bcardiff,0.1
Blacksmoke16,0.1
jhass,0.1
j8r,0.09
makenowjust,0.08
jkthorne,0.07
wooster0,0.06
RX14,0.06
asterite,0.06
