dev,cosine_similarity
ftarulla,0.6
wooster0,0.08
jhass,0.05
bcardiff,0.04
ysbaddaden,0.04
waj,0.04
asterite,0.03
lbguilherme,0
straight-shoota,0
sam0x17,0
