dev,cosine_similarity
ysbaddaden,0.15
lbguilherme,0.1
RX14,0.1
waj,0.08
straight-shoota,0.07
oprypin,0.07
bcardiff,0.06
jhass,0.06
asterite,0.05
jkthorne,0.05
