dev,cosine_similarity
straight-shoota,0.16
jhass,0.15
RX14,0.12
makenowjust,0.11
asterite,0.1
bcardiff,0.08
carlhoerberg,0.07
wooster0,0.06
jkthorne,0.06
waj,0.04
