dev,cosine_similarity
ffwff,0.27
bcardiff,0.17
jan-zajic,0.17
RX14,0.15
ysbaddaden,0.13
makenowjust,0.13
waj,0.13
Blacksmoke16,0.12
wooster0,0.12
asterite,0.12
