dev,cosine_similarity
rdp,0.31
jhass,0.09
makenowjust,0.08
wooster0,0.08
ysbaddaden,0.07
straight-shoota,0.06
bcardiff,0.06
waj,0.05
RX14,0.05
asterite,0.04
