dev,cosine_similarity
ilanpillemer,0.35
ffwff,0.32
rdp,0.17
didactic-drunk,0.15
jan-zajic,0.15
martimatix,0.14
makenowjust,0.12
wooster0,0.12
Blacksmoke16,0.1
j8r,0.1
