dev,cosine_similarity
oprypin,0.26
jhass,0.25
bcardiff,0.22
makenowjust,0.22
wooster0,0.19
straight-shoota,0.16
asterite,0.16
RX14,0.15
jkthorne,0.14
ilanpillemer,0.12
