dev,cosine_similarity
asterite,0.28
bcardiff,0.22
RX14,0.19
snluu,0.16
makenowjust,0.15
jhass,0.15
waj,0.14
straight-shoota,0.12
didactic-drunk,0.12
ayazhafiz,0.12
