dev,cosine_similarity
makenowjust,0.16
jan-zajic,0.14
jhass,0.1
jkthorne,0.1
waj,0.08
wooster0,0.07
asterite,0.06
ysbaddaden,0.04
RX14,0.04
bcardiff,0.02
