dev,cosine_similarity
wooster0,0.06
makenowjust,0.05
bcardiff,0.04
waj,0.04
asterite,0.04
straight-shoota,0.03
ysbaddaden,0.03
jhass,0.03
lbguilherme,0
sam0x17,0
