dev,cosine_similarity
oprypin,0.22
makenowjust,0.14
straight-shoota,0.08
bcardiff,0.07
RX14,0.07
asterite,0.06
jkthorne,0.06
jhass,0.03
waj,0.03
lbguilherme,0
