dev,cosine_similarity
bcardiff,0.12
jhass,0.11
ysbaddaden,0.08
asterite,0.07
straight-shoota,0.06
Blacksmoke16,0.04
makenowjust,0.04
j8r,0.03
waj,0.03
wooster0,0.03
