dev,cosine_similarity
wooster0,0.15
oprypin,0.12
straight-shoota,0.07
bcardiff,0.07
makenowjust,0.07
RX14,0.06
asterite,0.06
jhass,0.05
ysbaddaden,0.04
waj,0.02
