dev,cosine_similarity
ilanpillemer,0.36
rdp,0.17
ffwff,0.16
martimatix,0.14
firejox,0.14
j8r,0.1
jhass,0.1
wooster0,0.1
bcardiff,0.08
makenowjust,0.08
