dev,cosine_similarity
igor-alexandrov,0.54
mimame,0.44
hutou,0.44
KarthikMAM,0.31
icy-arctic-fox,0.21
jan-zajic,0.15
Blacksmoke16,0.14
wooster0,0.14
firejox,0.13
jhass,0.13
