dev,cosine_similarity
lbguilherme,0.29
straight-shoota,0.08
jhass,0.08
ysbaddaden,0.07
waj,0.06
RX14,0.06
makenowjust,0.05
bcardiff,0.04
asterite,0.04
sam0x17,0
