dev,cosine_similarity
KarthikMAM,0.42
TedTran2019,0.39
mimame,0.28
hutou,0.28
jhass,0.24
kimburgess,0.22
snluu,0.21
j8r,0.2
didactic-drunk,0.2
makenowjust,0.19
