dev,cosine_similarity
jan-zajic,0.33
firejox,0.23
j8r,0.12
jkthorne,0.1
jhass,0.08
wooster0,0.08
makenowjust,0.07
bcardiff,0.06
waj,0.06
straight-shoota,0.04
