dev,cosine_similarity
sam0x17,0.37
lbguilherme,0.33
straight-shoota,0.21
jhass,0.2
ysbaddaden,0.15
RX14,0.12
waj,0.11
Blacksmoke16,0.1
bcardiff,0.09
asterite,0.09
