dev,cosine_similarity
Blacksmoke16,0.23
oprypin,0.19
jan-zajic,0.16
wooster0,0.16
makenowjust,0.14
jhass,0.1
j8r,0.09
bcardiff,0.08
asterite,0.07
straight-shoota,0.05
