dev,cosine_similarity
oprypin,0.25
wooster0,0.16
straight-shoota,0.09
bcardiff,0.09
jhass,0.09
makenowjust,0.07
asterite,0.06
waj,0.05
ysbaddaden,0.04
RX14,0.04
