LexManos;159;180;468;340;0.008823529411764706
SizableShrimp;4;5;11;13;33;7;186;547;261;0.034482758620689655
marchermans;2;5;27;3;6;7;25;105;469;183;0.060109289617486336
cpw;614;2;1.0
sciwhiz12;40;73;506;114;0.02631578947368421
Matyrobbrt;163;1;1.0
