DanAlbert;1170;1;1.0
BillyDonahue;45;36;8;17;9;65;5;4;4;2;5;19;12;936;234;0.06837606837606838
delaitre;1169;1;1.0
edgarriba;1166;1;1.0
bartshappee;1164;1;1.0
srz-zumix;83;564;513;648;0.004629629629629629
sjg20;1133;1;1.0
klimkin;1128;1;1.0
craigscott-crascit;25;1475;26;0.07692307692307693
davidben;29;22;84;241;461;281;839;0.00834326579261025
nicolacavallini;1118;1;1.0
mbjorge;1100;1;1.0
dawikur;1073;1;1.0
zeitounator;1066;1;1.0
vpfautz;1053;1;1.0
dankegel;1049;1;1.0
danilcha;1039;2;1.0
frosteyes;148;867;149;0.013422818791946308
gennadiycivil;16;69;5;4;3;2;2;2;4;4;2;3;5;2;10;13;2;2;4;5;8;24;4;3;2;4;3;2;11;2;2;2;3;3;3;6;3;2;2;7;3;3;2;5;3;2;3;2;4;3;2;6;6;6;4;11;9;3;6;2;26;4;3;3;2;3;3;2;3;4;5;6;3;4;2;3;5;3;5;11;5;5;7;6;3;4;6;5;3;2;3;9;2;3;4;7;7;3;8;15;5;2;4;2;2;3;3;6;8;3;4;10;4;5;4;3;4;4;3;2;3;5;21;11;2;3;8;3;7;15;14;2;4;4;2;6;4;7;21;2;14;40;949;0.3203371970495258
pwnall;282;9;4;43;3;645;342;0.017543859649122806
krytarowski;984;1;1.0
nico;975;1;1.0
lipk;960;1;1.0
jorgelhb;951;1;1.0
tanzislam;63;16;74;42;64;27;34;8;80;16;516;425;0.02588235294117647
chromy;940;1;1.0
zulkarnine;7;16;913;27;0.2222222222222222
Chris-Sharpe;938;1;1.0
scottslacksmith;147;782;148;0.013513513513513514
coryan;154;3;2;3;12;11;54;686;243;0.04526748971193416
chehsunliu;43;17;867;61;0.04918032786885246
nyibbang;924;1;1.0
krizalys;1284;1;1.0
Manozco;895;1;1.0
joelypoley;895;1;1.0
aconverse;1009;1;1.0
shlomif;1106;1;1.0
eduherminio;888;2;1.0
Dani-Hub;11;875;15;0.3333333333333333
mwoehlke-kitware;7;882;8;0.25
alyssawilk;6;12;870;19;0.15789473684210525
joshbodily;6;118;764;125;0.024
SoapGentoo;384;398;102;783;0.0038314176245210726
ShadowIce;22;3;877;26;0.11538461538461539
qzmfranklin;45;879;47;0.06382978723404255
henryiii;230;133;516;365;0.010958904109589041
romkatv;876;1;1.0
KindDragon;194;241;35;75;10;54;313;498;925;0.010810810810810811
brian-peloton;1275;1;1.0
sgraham;177;63;5;9;614;256;0.0234375
LebedevRI;1111;1;1.0
sheepmaster;6;574;187;674;768;0.005208333333333333
gaspardpetit;860;1;1.0
stkhapugin;859;2;1.0
yursha;3;854;5;0.6
DarthGandalf;155;711;156;0.01282051282051282
ly2048;852;2;1.0
bkircher;851;1;1.0
jwakely;278;840;279;0.007168458781362007
joealam;830;1;1.0
DariuszOstolski;823;1;1.0
m-gupta;8;812;9;0.2222222222222222
Romain-Geissler;407;281;493;689;0.0043541364296081275
bryanzim;3;23;14;2;3;4;5;756;55;0.14545454545454545
whame;799;1;1.0
