vitaut;20;3;5;8;9;2;5;5;4;3;13;41;14;28;5;3;6;11;2;2;5;2;3;8;3;3;7;5;6;2;2;3;3;11;15;2;2;2;2;6;3;3;2;4;6;3;3;5;3;3;3;3;7;7;2;2;4;3;3;3;3;2;5;4;2;3;2;2;4;5;2;4;2;6;2;4;5;7;3;2;3;3;4;5;3;10;10;2;6;2;2;3;5;4;6;3;4;3;3;2;4;4;3;4;2;2;3;2;3;4;6;4;5;4;2;3;2;2;2;2;2;3;5;4;12;4;3;3;6;3;2;3;2;4;3;11;3;2;2;2;2;7;5;2;2;2;2;6;3;3;3;2;3;5;4;2;3;6;3;2;2;2;5;2;4;8;4;10;2;2;3;2;3;3;6;4;3;7;3;2;4;2;5;2;3;8;2;2;2;3;3;2;3;2;3;3;4;3;1112;0.4181654676258993
EricWF;1112;1;1.0
polyvertex;4;1107;5;0.4
mojoBrendan;1096;1;1.0
calumr;1093;1;1.0
Andreone;1091;1;1.0
Gachapen;1090;1;1.0
olivier80;1071;1;1.0
richardeakin;1080;1;1.0
0x414c;1057;1;1.0
dschmidt;1054;1;1.0
pkestene;1044;1;1.0
manylegged;1021;1;1.0
effzeh;1014;1;1.0
chronoxor;700;14;203;9;28;22;14;20;991;0.008072653884964682
ginggs;1008;1;1.0
zhaohuaxishi;1004;1;1.0
Quentin01;987;1;1.0
foonathan;40;10;3;14;246;105;84;180;303;683;0.013177159590043924
AndreasSchoenle;563;421;565;0.005309734513274336
trozen;975;1;1.0
bjoernthiel;971;1;1.0
niosHD;967;1;1.0
ibell;961;1;1.0
maddinat0r;934;1;1.0
evgen231;924;1;1.0
alexanderbock;7;915;9;0.3333333333333333
bylee20;917;1;1.0
rollbear;912;1;1.0
henryiii;325;7;548;333;0.009009009009009009
Manu343726;8;878;9;0.2222222222222222
alabuzhev;74;97;450;250;622;0.006430868167202572
Yelnats321;863;1;1.0
mwinterb;8;196;18;229;63;15;187;113;717;0.011157601115760111
yumetodo;823;1;1.0
ludekvodicka;815;1;1.0
virgiliofornazin;41;760;42;0.047619047619047616
jpcima;794;1;1.0
mikecrowe;793;1;1.0
aroig;14;767;15;0.13333333333333333
mihaitodor;779;1;1.0
WPMGPRoSToTeMa;770;1;1.0
timblechmann;749;1;1.0
codicodi;1193;1;1.0
peterbell10;725;1;1.0
cowo78;718;1;1.0
chenxiaolong;698;1;1.0
hubslave;696;1;1.0
johnthagen;21;673;22;0.09090909090909091
luncliff;235;4;96;199;140;535;0.009345794392523364
vgalka-sl;674;1;1.0
eliaskosunen;38;9;6;30;237;3;2;346;326;0.024539877300613498
Kronuz;660;1;1.0
sebkoenig;658;1;1.0
christianparpart;645;1;1.0
DanielaE;8;4;140;8;2;3;7;16;31;6;30;11;12;9;2;331;12;626;0.03514376996805112
dankm;617;1;1.0
Remotion;28;585;31;0.12903225806451613
sv1990;611;1;1.0
drrlvn;589;1;1.0
gabime;29;424;131;454;0.006607929515418502
DhruvParanjape;566;1;1.0
0x8000-0000;151;18;342;3;45;516;0.011627906976744186
mkurdej;555;1;1.0
qis;551;1;1.0
MikePopoloski;544;2;1.0
medithe;22;9;4;8;483;44;0.11363636363636363
eliasdaler;517;1;1.0
SuperWig;486;1;1.0
CandyGumdrop;481;1;1.0
stevenhoving;472;1;1.0
kookjr;464;1;1.0
superfunc;464;1;1.0
DarkDimius;462;1;1.0
tchaikov;460;1;1.0
colemickens;448;1;1.0
XZiar;445;2;1.0
tnovotny;419;1;1.0
hotwatermorning;411;1;1.0
liuping1997;407;1;1.0
Rakete1111;3;6;396;10;0.3
HecticSerenity;397;1;1.0
Naios;381;1;1.0
stryku;175;239;176;0.011363636363636364
morinmorin;3;343;4;0.5
mikelui;327;1;1.0
bricciardelli;23;303;24;0.08333333333333333
abolz;323;1;1.0
gawain-bolton;5;315;6;0.3333333333333333
waywardmonkeys;29;141;141;171;0.017543859649122806
jasonszang;308;1;1.0
olafhering;296;1;1.0
BillyDonahue;14;278;16;0.1875
remyabel2;290;1;1.0
Lectem;6;283;7;0.2857142857142857
sighingnow;272;1;1.0
pauldreik;31;32;81;10;55;53;210;0.02857142857142857
denchat;5;4;3;246;13;0.3076923076923077
gsjaardema;116;113;28;230;0.013043478260869565
rcane;255;1;1.0
mocabe;26;226;27;0.07407407407407407
cjdb;228;1;1.0
HazardyKnusperkeks;205;1;1.0
vedranmiletic;79;118;80;0.025
jackoalan;10;68;106;79;0.0379746835443038
DaanDeMeyer;182;1;1.0
jwakely;175;1;1.0
sdebionne;155;1;1.0
hhb;141;1;1.0
agmt;137;1;1.0
neheb;18;52;69;71;0.04225352112676056
denizevrenci;3;39;55;41;99;0.050505050505050504
dkavolis;113;1;1.0
jeremyong;111;1;1.0
orivej;2;2;95;5;0.6
tankiJong;97;1;1.0
kent-tri;86;1;1.0
tajtiattila;74;1;1.0
skrdaniel;74;1;1.0
tdegeus;60;1;1.0
dlaugt;63;1;1.0
leonklingele;57;1;1.0
robquant;47;1;1.0
bbolli;44;1;1.0
egorpugin;43;1;1.0
federico-busato;35;1;1.0
iPherian;33;1;1.0
parkertomatoes;30;1;1.0
imba-tjd;29;1;1.0
torsten48;6;1;1.0
tohammer;2;1;1.0
