user_id;2017-12-21;2017-12-22;2017-12-23;2017-12-24;2017-12-25;2017-12-26;2017-12-27;2017-12-28;2017-12-29;2017-12-30;2017-12-31;2018-01-01;2018-01-02;2018-01-03;2018-01-04
wsdjeg;2;1;0;1;0;0;0;0;0;0;0;0;1;0;0
cheshire137;3;0;0;0;0;0;0;0;0;0;0;0;3;1;0
data-man;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
MikeMcQuaid;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
