dev,cosine_similarity
pupnewfster,0.14
ferriarnus,0.14
XFactHD,0.13
ChampionAsh5357,0.09
Jonathing,0.09
LexManos,0.05
SizableShrimp,0.04
cpw,0.03
RealMangorage,0
coehlrich,0
