dev,cosine_similarity
PaintNinja,0.13
JustRed23,0.12
Jonathing,0.09
bconlon1,0.09
Shadows-of-Fire,0.05
LexManos,0.05
cpw,0.05
Matyrobbrt,0.04
ChampionAsh5357,0.03
SizableShrimp,0.03
